codigo;descricao
14.06;Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados
14.07;Colocação de molduras e congêneres
14.08;Encadernação, gravação e douração de livros, revistas e congêneres
14.09;Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento
14.10;Tinturaria e lavanderia
14.11;Tapeçaria e reforma de estofamentos em geral
14.12;Funilaria e lanternagem
14.13;Carpintaria e serralheria
14.14;Guincho intramunicipal, guindaste e içamento. (Redação dada pela Lei Complementar nº 157, de 2016)
15.01;Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira
15.02;Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de
15.03;Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de
15.04;Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de
15.05;Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no
15.06;Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral, abono de firmas
15.07;Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo,
15.08;Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito
15.09;Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações,
15.10;Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas
15.11;Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de
15.12;Custódia em geral, inclusive de títulos e valores mobiliários
15.13;Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e
15.14;Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito,
15.15;Compensação de cheques e títulos quaisquer, serviços relacionados a depósito, inclusive depósito
15.16;Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de
15.17;Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou
15.18;Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica,
16.01;Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros
16.02;Outros serviços de transporte de natureza municipal. (Incluído pela Lei Complementar nº 157, de 2016)
17.01;Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista, análise, exame,
17.02;Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição,
17.03;Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa
17.04;Recrutamento, agenciamento, seleção e colocação de mão-de-obra
17.05;Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores,
17.06;Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de
17.07;(VETADO)
17.08;Franquia (franchising)
17.09;Perícias, laudos, exames técnicos e análises técnicas
17.10;Planejamento, organização e administração de feiras, exposições, congressos e congêneres
17.11;Organização de festas e recepções, bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito
17.12;Administração em geral, inclusive de bens e negócios de terceiros
17.13;Leilão e congêneres
17.14;Advocacia
17.15;Arbitragem de qualquer espécie, inclusive jurídica
17.16;Auditoria
17.17;Análise de Organização e Métodos. 12/15
17.18;Atuária e cálculos técnicos de qualquer natureza
17.19;Contabilidade, inclusive serviços técnicos e auxiliares
17.20;Consultoria e assessoria econômica ou financeira
17.21;Estatística
17.22;Cobrança em geral
17.23;Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações,
17.24;Apresentação de palestras, conferências, seminários e congêneres
17.25;Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto
18.01;Serviços de regulação de sinistros vinculados a contratos de seguros, inspeção e avaliação de riscos para
19.01;Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons
20.01;Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de
20.02;Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de
20.03;Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias,
21.01;Serviços de registros públicos, cartorários e notariais
22.01;Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo
23.01;Serviços de programação e comunicação visual, desenho industrial e congêneres
24.01;Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres
25.01;Funerais, inclusive fornecimento de caixão, urna ou esquifes, aluguel de capela, transporte do corpo
25.02;Translado intramunicipal e cremação de corpos e partes de corpos cadavéricos. (Redação dada pela Lei
25.03;Planos ou convênio funerários
25.04;Manutenção e conservação de jazigos e cemitérios
25.05;Cessão de uso de espaços em cemitérios para sepultamento. (Incluído pela Lei Complementar nº 157, de
26.01;Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores,
27.01;Serviços de assistência social
28.01;Serviços de avaliação de bens e serviços de qualquer natureza
29.01;Serviços de biblioteconomia
30.01;Serviços de biologia, biotecnologia e química
31.01;Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres
32.01;Serviços de desenhos técnicos
33.01;Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres
34.01;Serviços de investigações particulares, detetives e congêneres
35.01;Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas
36.01;Serviços de meteorologia
37.01;Serviços de artistas, atletas, modelos e manequins
38.01;Serviços de museologia
39.01;Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço)
40.01;Obras de arte sob encomenda
